Oakwood Premier Cozmo;ChIJIxPwyuTzaS4RkM8-JkFlovw
Oakwood Suites La Maison;ChIJ03EqK23xaS4RKclf6Hb7zzw
Oasis Amir Hotel Jakarta;ChIJJY7j5sr1aS4RltoJiy1KTPM
Oktroi Plaza;ChIJny3Gnn_xaS4R2pDunht0N6U
Olympic Hotel Jakarta;ChIJUS4mFeP1aS4RlSsv4E_706o
Orchardz Industri;ChIJQfGN0O31aS4R7fgJOi7XLp0
Orchardz Jayakarta;ChIJC66eHsz1aS4RA7O_4X0JYCM
Oria Hotel;ChIJN9T_jiX0aS4RzS7vMdU_jrI
OYO 116 N Hotel;ChIJNY8xtXn2aS4RJ5tN3DmqMjg
OYO 136 Manggis Inn;ChIJbcJNgST3aS4RVTlxaHkqsD8
OYO 919 Hotel Kalisma Syariah;ChIJk8wx-5r2aS4RczxeCCHkw6U
Ozone Hotel Jakarta;ChIJeVlPAhQdai4RYFA_jCBsTHE
P Hotel Jakarta;ChIJIdYXsfX0aS4RktjhU0V9PSM
Paragon Gallery Hotel Jakarta;ChIJu4-Uozr0aS4R3sT-zMlb9b0
Park 5 Simatupang;ChIJr7e3ZuHxaS4RJ_hXa0Pkndg
Park Hotel;ChIJawos48VZei4RGXTSV1zxkNs
Patra Jasa Jakarta Hotel;ChIJwfNuuQL1aS4RzPNc1xKfid0
Pax Hotel;ChIJX0ADu2T0aS4RqcGHyZ6jaBU
Pejaten Valley Residence;ChIJcZSH5iLyaS4RgWbi9HBJWt8
Permata Bandara Hotel;ChIJg_vIc3j4aS4RmJ8pCy4VsVA
Pesona Guest House Jakarta;ChIJYwNSeO3xaS4RJtwIIcSbgZs
PINX'S HOSTEL;ChIJjRSWfu71aS4RKYVdUKmbzKw
Pitagiri Hotel;ChIJH2R8Mcb2aS4Rbu6lKSF2mWo
Pomelotel Patra Kuningan;ChIJ7RahLMLzaS4RSXynZ6WozTI
Pondok Labu Residence;ChIJ_zANQD3uaS4RR8ux1XAcl78
Pondok Putri Duyung Ancol;ChIJj0RmQyEeai4RlkQte-iB9u0
Pop Hotel Kelapa Gading Jakarta;ChIJ6R1nqjX1aS4RQ6aOjqjw11E
POP Hotel Kemang;ChIJS-bppnnxaS4R_V5WQicM7ZQ
POP Hotel Tebet;ChIJoQatZ5TzaS4RqZL1VzvdWNA
POP Kemang;ChIJS-bppnnxaS4R_V5WQicM7ZQ
POP! Hotel Pasar Baru Jakarta;ChIJQdfVjMP1aS4Rip_ao6YROvM
Posto Dormire Hotel;ChIJ1aFLXWj2aS4RJbMDbI90iwE
Prasada Mansion;ChIJ9-ciGQf0aS4RsKNthryimIA
Prima Indah Bungur;ChIJZ5RDkW31aS4R8rKSy8pBwL4
Pullman Jakarta Central Park;ChIJSdyLZF_2aS4RZokg06PF_j0
Pullman Jakarta Indonesia;ChIJp9WFYiH0aS4R3B372KAlQb4
Puri Casablanca Serviced Apartment;ChIJn9FxeHT0aS4R2C5sKhJTNqk
Puri Denpasar Hotel Jakarta;ChIJq1L2zubzaS4RbNXLF1pPNTs
Puri Mega Hotel;ChIJl_0nRV70aS4Rq9TVSM-sXhs
Quds Express Hotel;ChIJY7QT_Z72aS4Ry3w0uOvb3rU
Ra Hotel and Residence;ChIJo_SmbuTxaS4R2-iNhpoK7w0
Ra Residence;ChIJo_SmbuTxaS4R2-iNhpoK7w0
Raffles Jakarta;ChIJ8TqBZvzzaS4RTVnLy82UkHM
Rasuna Icon Private;ChIJua6vQvfzaS4Ru6gGGSgD7ZY
Rasuna Mansion;ChIJbw0mWffzaS4RyxtMM7dEtu8
Ravarine Suite Apartment;ChIJ1_kp60H1aS4RUvnJ-a7A0yE
Red Planet Hotel Pasar Baru;ChIJu1Eu8MP1aS4RhUq2eoCYaKw
RedDoorz @ Fatmawati Raya;ChIJdX6uUJrxaS4R6k73tu995DI
RedDoorz @ Karet Pedurenan;ChIJlRf1VvjzaS4RbfqgexHTCU8
RedDoorz @ Pemuda;ChIJJbAeE8j0aS4RCY-koB1N6BA
RedDoorz @ Petojo;ChIJdW71C-L3aS4Rq6Sw3GNhLrk
RedDoorz @ Pulomas;ChIJSRhUwN70aS4RRrpWIaSV-vQ
RedDoorz Near Asemka;ChIJh2hRkG73aS4R3TpzPe-Yutc
RedDoorz Plus @ Karet Setiabudi;ChIJ1SfNFQH0aS4RN4OKV-vjGgo
Redstar Hotel Jakarta;ChIJGecNkub1aS4RL7qdJOUkThI
Redtop Hotel and Convention Center;ChIJ79J4Hdv1aS4RMcLFlH3c1DY
Rensa Hotel Jakarta;ChIJqwErxKyMaS4RwIH0UTH6CS0
Rivoli Senen Jakarta;ChIJSyoA-Ej0aS4RgEHn5VIq4rU
Rota International Hotel;ChIJH_zDwmcnaC4Rwfez8X_1xx4
Royal City Hotel;ChIJE6GwhHz2aS4RvQXVvfG8Nr4
Royal Kuningan Hotel;ChIJd0jjAhD0aS4RLE3lyytjvFU
Royal Regal Hotel Jakarta;ChIJd0jjAhD0aS4RLE3lyytjvFU
Rumah Shinta;ChIJV8uFwf_1aS4RzSYqCoUOGIk
Safin Inn Cipete;ChIJ2aw7V5rxaS4RWCuvnFRk8kE
Sahati Hotel;ChIJd9F4mwPyaS4Rdv6dbqRPBgI
Sampit Residence;ChIJjQpi9mzxaS4RiAS7hbtvSgs
Sanno Hotel Jakarta;ChIJGVcHgo0dai4RQ1HBLTj8hGE
Santika Kelapa Gading;ChIJy8OQ5kj1aS4RsulV60rBepA
Santika TMII;ChIJv88012btaS4RjGdR4emFemA
Sare Jakarta;ChIJuQUHD2nxaS4RYHkY0Z8ko0o
Sare Suites;ChIJR4Q_GPXxaS4RHxPxMH2IQqg
Sari Pan Pacific Jakarta;ChIJ6wB8Sy_0aS4RR2MpygKczm4
Sawana suite;ChIJfSWRHbD2aS4RSSCGFmdkbT4
Sentral Jakarta;ChIJtwAhE7j3aS4RqAqWRKSrSKY
Shakti Capsule Hotel Jakarta;ChIJfwPTvCf1aS4R_ajixc9rJAc
SHAKTI HOTEL JAKARTA;ChIJw66pONj1aS4R-3avEqZmzNs
Shalva Jakarta;ChIJLZpQXYr3aS4ROAEF4h0dqN0
