(TEST) Speed Godzilla Jakarta
7 Days Premium Jatinegara
A One Hotel Jakarta
Aleander Hotel Jakarta
Alia Cikini Hotel
Alia Matraman Hotel
Alia Pasar Baru Hotel
ALILA Jakarta
Alila SCBD Jakarta
All Nite and Day Residence Kebon Jeruk
All Season Thamrin
All Seasons Jakarta Gajah Mada
All Sedayu Kelapa Gading Hotel
Allson Residence
Aloft Jakarta Wahid Hasyim
Alpine Hotel Jakarta
Amaris Bandara
Amaris Grogol
Amaris Hotel Fachrudin
Amaris Hotel La Codefin Kemang
Amaris Hotel Mampang
Amaris Hotel Panglima Polim
Amaris Hotel Pluit
Amaris Hotel Senen
Amaris Juanda
Amaris Mangga Besar
Amaris Mangga Dua Square
Amaris Pancoran
Amaris Panglima Polim 2
Amaris Pasar Baru
Amaris Satrio Kuningan
Amaris Season City
Amaris Tebet
Amaris Tendean
Amaris Thamrin City
Amaroossa Cosmo Jakarta
Amazing Kutaradja Hotel
Ambhara Hotel
Amos Cozy Hotel
Ampera Avenue Residence
Ana Hotel Jakarta
Antoni Hotel
Anugrah Transit Hotel
Apple Platinum Hotel
Arcadia Horison Mangga Dua
Arimbi Pejaten Suites
Arion Swiss-Belhotel Kemang
Arnava Hotel Senen
Arnava Hotel Senen
Arosa Jakarta
Arthama Hotel Wahid Hasyim Jakarta
ARTOTEL Casa Hangtuah
Artotel Suites Mangkuluhur
Artotel Thamrin
Artotel Wahid Hasyim
Asana Kawanua Jakarta formerly Aerotel Kawanua Jakarta
Ascott Kuningan Jakarta
Ascott Sudirman Jakarta
ASHLEY HOTEL
Ashley Sabang
Aston At Kuningan Suites
Aston Cengkareng Hotel
Aston Kartika Grogol and Conference Center
ASTON Kemayoran City Hotel
Aston Marina Hotel & Residence
Aston Pluit Hotel and Residence
Aston Priority Simatupang Hotel and Conference Center
Aston Rasuna
ATA Hotel Kedoya
Atlantic Hotel
Avissa Suites
Ayaka Suites
Ayer Resort and Cottages
Azana Suite Hotel Antasari
B Fashion Hotel
Bamboo Inn Hotel & Cafe
Banian Boulevard
Banyuwangi Sintera Hotel
Batavia Apartment (Apartment)
Belvena Mangga Besar V
Best Western Mangga Dua Hotel & Residence
Best Western Plus Kemayoran Hotel
Best Western Premier The Hive
Best Western Senayan
Bestinn
BIG Hotel (Serela Kartini)
Bintang Griyawisata
Blessing Residence
Blue Sky Hotel Petamburan
Blue Sky Pandurata Boutique Hotel
Borobudur Jakarta
Bumi Karsa Bidakara
Bunga-Bunga Hotel Jakarta
Business Hotel Tomang
C one Cempaka Putih
C'ONE Hotel Plaza
Cabin Hotel Jakarta
Casa Living Setiabudi
Cemara Wahid Hasyim
Centro City Service Apartment
Century Park Hotel
Cheers Residental Graha RSPP
Chic Quarter Urban Resort
Cilandak Mansion
Cipta Hotel Jakarta
Cipta Hotel Mampang
Cipta Hotel Pancoran Jakarta
Ciputra Jakarta
Citadines Rasuna Jakarta
Citi M Hotel
City Icon Residence
Classic Hotel
Clay Smart Boutique Hotel
CORDELA HOTEL SENEN JAKARTA
CORDELA NORWOOD HOTEL
Cordex Lodan Ancol
Couleur Hotel Cengkareng
Countrywoods Residences
Crowne Plaza Jakarta
D Arcici Hotel Cempaka Putih
D Arcici Hotel Sunter
D Arcici Plumpang
D cozie Hotel by Prasanthi
D Hotel Jakarta
D Primahotel ITC Mangga Dua
d Primahotel WTC Mangga Dua
d'primahotel Melawai
d'Primahotel WTC Mangga Dua
Dafam Express Jaksa Jakarta
Daily Inn Hotel
De Green Inn
De Rivier Hotel
Dharmein Blok M
Diradja Hotel
Discovery Hotel & Convention Ancol
DoubleTree by Hilton Jakarta
Dragon Inn Kemayoran
Dreamtel Jakarta Hotel
Dwijaya House
Eightin Jakarta
éL Royale Hotel Jakarta
Elliottii Residence Alam Asri
Erian Jakarta Wahid Hasyim
Everyday Smart Hotel Jakarta Mayestik
Everyday Smart Hotel Mangga Besar
F Hotel Jakarta
Fairmont Jakarta
Favehotel Gatot Subroto
Favehotel Kelapa Gading
Favehotel LTC Glodok
Favehotel Melawai
Favehotel Pasar Baru
Favehotel PGC Cililitan Jakarta
Favehotel Pluit Junction
Favehotel Puri Indah
Favehotel Tanah Abang - Cideng
Favehotel Zainul Arifin
Feodora Hotel Jakarta
Feodora Mangga Besar IV
Fits Hotel
FLAT06 Bed & Breakfast Hotel
FLAT06. Tendean
Fontana Hotel Jakarta
Formule 1 Cikini
Four Points by Sheraton Jakarta Thamrin
Four Seasons Gatot Subroto
Fraser Residence Menteng Jakarta
Fraser Residence Sudirman
Front One Boutique Hotel Taman Anggrek
Fuxion Inn
G7 Hotel
G7 Hotel
Gading Indah Hotel
Golden Boutique Hotel - Angkasa
Golden Boutique Melawai
Golden Sky
Golden Tulip Essential Tangerang
Golden Tulip Passer Baroe
Goodrich Suites Kemang by ARTOTEL
GP Mega Kuningan
Gran Melia Jakarta
Grand Asia Jakarta
Grand Batik Inn
Grand Cemara
Grand Cempaka Hotel Jakarta
Grand Dafam Ancol
Grand G7 Hotel Pasar Baru
Grand Hyatt Jakarta
Grand Kasira by LARIZ
Grand Kemang
Grand Menteng
Grand Mercure Jakarta Harmony
Grand Mercure Jakarta Kemayoran
Grand Orchardz Kemayoran
Grand Paragon Hotel Jakarta
Grand Picasso Hotel
Grand Sahid Jaya
Grand Tjokro Jakarta
Grand Tropic Suites
Grand Whiz Poins Square Simatupang
GranDhika Iskandarsyah Jakarta
Gren Alia Cikini Jakarta
Gren Alia Prapatan
Griya Amartha
Griya Patria Guesthouse
Griyadi Blue Pacific
H Hotel Senen
Happy Inn
Hariston Hotel & Suites
Harlys Residence Jakarta
Harper M.T Haryono
Harris Hotel & Conventions Kelapa Gading
Harris Suite Fx Sudirman
Harris Tebet
Harris Vertu Hotel Harmoni
Harvia Suites
Heef Hotel
